,id,name,first_air_date,origin_country,original_language,overview,popularity,vote_average,vote_count
0,119051,Wednesday,2022-11-23,['US'],en,"Wednesday Addams is sent to Nevermore Academy, a bizarre boarding school where she attempts to master her psychic powers, stop a monstrous killing spree of the town citizens, and solve the supernatural mystery that affected her family 25 years ago — all while navigating her new relationships.",3430.916,8.7,4629
1,36361,Ulice,2005-09-05,['CZ'],cs,"Ulice is a Czech soap opera produced and broadcast by Nova. In the Czech language Ulice means street.

The show describes the lives of the Farský, Jordán, Boháč, Nikl, and Liška families and many other people that live in Prague. Their daily battle against real problems of living in a modern world like divorce, love, betrayal and illness or disease. Ulice often shows crime.",2763.759,2.1,8
2,115646,Lisa,2021-01-25,['BE'],nl,,1872.799,6.5,36
3,204095,Mar do Sertão,2022-08-22,['BR'],pt,,1524.384,4.6,19
4,197189,Cara e Coragem,2022-05-30,['BR'],pt,,1499.511,5.8,42
5,211174,Vengeance of the Bride,2022-10-10,['KR'],ko,The story of a woman who becomes the daughter-in-law of an enemy for desperate revenge.,1373.678,0.0,0
6,211239,The Love in Your Eyes,2022-10-03,['KR'],ko,"Depicts the second love of a rogue daughter-in-law who appears in a 30-year-old gomtang restaurant, and a confident single mother Young Ih who says anything no matter what.

Jang Kyung Joon, who has the charm of a black-and-white man. Even though he shows the coolness of self-restraint from a large company that doesn't show his emotions easily, he shows both sides of being friendly in front of Lee Young Ih. Lee Young Ih, a single mother of steel mentality and a daughter-in-law with a bad attitude. She is sometimes angry, but she is a colorful charmer full of justice. Kim Hae Mi, her mother's daughter who has both her work and love in her hands, and Jang Kyung Joon's fiancée. It forms a tense rivalry with Bae Nouri. Jang Se Joon, the half-brother of Jang Kyung Joon, who has a friendly personality.",1509.472,3.5,2
7,208711,Een Jaar Van Je Leven,2022-09-05,['NL'],nl,,1362.67,5.3,4
8,197109,¿Cómo se llama esta relación?,2021-10-27,['IN'],hi,"The new stage of Yeh Rishta Kya Kehlata Hai will deal with the rivalry between sisters set within the premise of a love triangle. It will basically revolve around the story of two sisters, Akshara and Aarohi, and how they get entangled in a relationship with their love interest, Abhimanyu.",1481.678,6.0,2
9,209609,Abot-Kamay Na Pangarap,2022-09-05,['PH'],tl,"Analyn is a genius who was born poor and raised by her illiterate and sickly mother. She graduates from high school at the age of 12 and dreams of becoming a doctor in order to help the less privileged. She graduates from med school at 19 years old and becomes the youngest surgical resident in a large hospital. Despite her achievements, she has to deal with bullying and competition from her fellow doctors, who are threatened by her age and intelligence. She soon finds herself in an emotional crisis which forces her to leave her profession indefinitely. She returns to the hospital when she learns that she is the only doctor skilled enough to save her father from a rare brain disease.",1483.181,0.0,0
10,211128,The Iron Heart,2022-11-14,['PH'],tl,"An undercover agent goes on a dangerous mission to bring down a crime ring. Fueled by a bitter and painful past, he along with his allies faces the grueling task that will challenge his resolve and strength.",1350.286,8.0,1
11,210506,Sangue Oculto,2022-09-19,['PT'],pt,,1471.416,4.7,3
12,204370,Travessia,2022-10-10,['BR'],pt,,1462.17,5.3,12
13,211660,Cuomo,2022-10-03,['US'],en,A no-nonsense show featuring the day’s most important news from all perspectives.,1466.887,3.4,11
14,73586,Yellowstone,2018-06-20,['US'],en,"Follow the violent world of the Dutton family, who controls the largest contiguous ranch in the United States. Led by their patriarch John Dutton, the family defends their property against constant attack by land developers, an Indian reservation, and America’s first National Park.",1289.842,8.1,1372
15,106541,The Witcher: Blood Origin,2022-12-25,['US'],en,"More than a thousand years before the world of The Witcher, seven outcasts in the elven world unite in a blood quest against an unstoppable power.",1096.808,6.6,214
16,111453,Ghum Hai Kisi Ke Pyaar Mein,2020-10-05,['IN'],hi,"Virat sacrifices his love to honour the promise he made to a dying man. Trapped between the past and the present, will he find love beyond the chains of duty?",1692.789,4.6,13
17,31586,La Reina del Sur,2011-02-28,['US'],es,"After years of blood, sweat and tears, a woman of humble origin ends up becoming a drug trafficking legend, with all that that means...",1159.848,7.8,1538
18,114410,Chainsaw Man,2022-10-12,['JP'],ja,"Denji has a simple dream—to live a happy and peaceful life, spending time with a girl he likes. This is a far cry from reality, however, as Denji is forced by the yakuza into killing devils in order to pay off his crushing debts. Using his pet devil Pochita as a weapon, he is ready to do anything for a bit of cash.",1098.364,8.7,595
19,130542,Bhagya Lakshmi,2021-08-03,['IN'],en,"Hailing from a middle-class family, Lakshmi’s life is upended when she realises that her marriage to Rishi Oberoi, an industrialist’s son, is a sham to keep his death at bay.",1537.649,5.3,9
20,121750,Darna,2022-08-15,['PH'],tl,"When fragments of a green crystal scatter in the city and turn people into destructive monsters, Narda embraces her destiny as Darna—the mighty protector of the powerful stone from Planet Marte.",1040.393,4.8,12
21,209326,Rajjo,2022-08-22,['IN'],nl,,1397.896,5.3,4
22,118357,1883,2021-12-19,['US'],en,"Follow the Dutton family as they embark on a journey west through the Great Plains toward the last bastion of untamed America. A stark retelling of Western expansion, and an intense study of one family fleeing poverty to seek a better future in America’s promised land — Montana.",912.87,8.4,241
23,213713,Faltu,2022-11-02,['IN'],hi,"What's in a name? Amidst the arid landscape of Rajasthan, a young woman with dreamy eyes struggles to prove her worth.",1350.125,4.8,5
24,157936,For You,2022-03-07,['PT'],pt,"In the parish of Rio Meandro, two villages are at war over the construction of a dam that will submerge one of them: either Aldeia Velha or Aldeia Nova.",1006.893,4.9,11
25,214326,輕·功,2022-12-05,['HK'],cn,,1219.082,10.0,1
26,1416,Grey's Anatomy,2005-03-27,['US'],en,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,867.626,8.3,8752
27,153312,Tulsa King,2022-11-13,['US'],en,"Just after he is released from prison after 25 years, New York mafia capo Dwight “The General” Manfredi is unceremoniously exiled by his boss to set up shop in Tulsa, Okla. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a “crew” from a group of unlikely characters, to help him establish a new criminal empire in a place that to him might as well be another planet.",777.131,8.7,175
28,111837,Willow,2022-11-30,['US'],en,"Many years after the events of the original film, legendary sorcerer Willow leads a group of misfit heroes on a dangerous rescue mission through a world beyond their wildest imaginations.",708.587,7.0,135
29,2734,Law & Order: Special Victims Unit,1999-09-20,['US'],en,"In the criminal justice system, sexually-based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories.",634.077,8.0,3125
30,65334,Miraculous: Tales of Ladybug & Cat Noir,2015-10-19,['FR'],fr,"Normal high school kids by day, protectors of Paris by night! Miraculous follows the heroic adventures of Marinette and Adrien as they transform into Ladybug and Cat Noir and set out to capture akumas, creatures responsible for turning the people of Paris into villains. But neither hero knows the other’s true identity – or that they’re classmates!",693.043,8.0,3929
31,79855,Questions pour un champion,,['FR'],fr,"Samuel Etienne hosts this emblematic game, which sees four candidates compete each evening around questions of general culture.",1043.406,0.0,0
32,60625,Rick and Morty,2013-12-02,['US'],en,"Rick is a mentally-unbalanced but scientifically gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",639.186,8.7,7680
33,110316,Alice in Borderland,2020-12-10,['JP'],ja,"With his two friends, a video-game-obsessed young man finds himself in a strange version of Tokyo where they must compete in dangerous games to win.",598.94,8.2,1148
34,213049,Cabo,2022-10-24,['MX'],es,,929.858,7.9,44
35,1402,The Walking Dead,2010-10-31,['US'],en,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,612.285,8.1,14323
36,94997,House of the Dragon,2022-08-21,['US'],en,"The Targaryen dynasty is at the absolute apex of its power, with more than 15 dragons under their yoke. Most empires crumble from such heights. In the case of the Targaryens, their slow fall begins when King Viserys breaks with a century of tradition by naming his daughter Rhaenyra heir to the Iron Throne. But when Viserys later fathers a son, the court is shocked when Rhaenyra retains her status as his heir, and seeds of division sow friction across the realm.",538.336,8.5,2742
37,63174,Lucifer,2016-01-25,['US'],en,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",546.101,8.5,12965
38,1871,EastEnders,1985-02-19,['GB'],en,"The everyday lives of working-class residents of Albert Square, a traditional Victorian square of terrace houses surrounding a park in the East End of London's Walford borough.",344.274,3.9,183
39,60574,Peaky Blinders,2013-09-12,['GB'],en,"A gangster family epic set in 1919 Birmingham, England and centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby, who means to move up in the world.",479.282,8.6,7997
40,1655,PBS NewsHour,1975-10-20,['US'],en,America's first and longest running hour-long nightly news broadcast known for its in-depth coverage of issues and current events.,571.331,5.3,37
41,120089,SPY x FAMILY,2022-04-09,['JP'],ja,"World peace is at stake and secret agent Twilight must undergo his most difficult mission yet—pretend to be a family man. Posing as a loving husband and father, he’ll infiltrate an elite school to get close to a high-profile politician. He has the perfect cover, except his wife’s a deadly assassin and neither knows each other’s identity. But someone does, his adopted daughter who’s a telepath!",485.207,8.7,1068
42,90669,1899,2022-11-17,['DE'],de,Passengers on an immigrant ship traveling to the new continent get caught in a mysterious riddle when they find a second vessel adrift on the open sea.,448.031,7.8,694
43,1399,Game of Thrones,2011-04-17,['US'],en,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",512.307,8.4,20156
44,456,The Simpsons,1989-12-17,['US'],en,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",492.778,8.0,8490
45,203599,Scoop,2005-06-06,['HK'],cn,"Scoop is a comprehensive information programme of Television Broadcasts Limited.

The content of the program is mainly based on entertainment news and personal follow-up of the artists, and will also be interspersed with the latest trends of TVB dramas and artists. Some entertainment news content clips will be rebroadcast on the next day's ""Entertainment Live"".

This program will be broadcast on Jade Channel from 19:30-20:00 (Hong Kong time) from June 6, 2005, and will be broadcast every day from March 3, 2019, and will be broadcast on myTV (later myTV SUPER) to provide ""Program Review"".",533.374,7.3,9
46,216304,The Director Who Buys Me Dinner,2022-12-15,['KR'],ko,"Hundreds of years ago, a child was named after god and was cursed. After 4 reincarnations he finds his love in the form of an employee of his company, a man! If they don't date, they die!",321.573,10.0,1
47,203887,Banni Chow Home Delivery,2022-05-30,['IN'],hi,"Self-sufficient Banni runs her meal delivery service. However, her life turns upside down when she is tasked with feeding a rich but emotionally unstable Yuvan.",289.042,4.9,8
48,71712,The Good Doctor,2017-09-25,['US'],en,"Shaun Murphy, a young surgeon with autism and savant syndrome, relocates from a quiet country life to join a prestigious hospital's surgical unit. Unable to personally connect with those around him, Shaun uses his extraordinary medical gifts to save lives and challenge the skepticism of his colleagues.",446.426,8.5,11031
49,1622,Supernatural,2005-09-13,['US'],en,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",426.02,8.3,6357
50,44953,The Lord of the Skies,2013-04-15,['MX'],es,"Set in the 1990s, these are the life and times of Amado Carrillo Fuentes, a man who became the head of the Juárez cartel. Nicknamed “El Señor de los Cielos” (Lord of the Skies) because of the large fleet of airplanes he used to transport drugs, he was also known for washing more than $200 million through Colombia to finance his huge fleet. He is described as the most powerful drug trafficker of his time.",497.152,7.8,2186
51,103960,Richard Osman's House of Games,2017-09-04,['GB'],en,Each week a group of four famous faces go toe to toe in testing their general knowledge skills in a variety of entertaining games.,452.238,6.2,13
52,211260,Fanta G Spot,2022-12-23,['KR'],ko,The story of women in their 20s who want to do things right in life.,643.252,7.0,2
53,112836,Money Heist: Korea - Joint Economic Area,2022-06-24,['KR'],ko,"Disguised under the shadows of a mask, a crew of desperados band together under the leadership of a criminal mastermind known only as “The Professor” to pull off the biggest heist Korea has ever seen.",424.408,7.9,498
54,4057,Criminal Minds,2005-09-22,['US'],en,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",445.525,8.3,3140
